,Position,ID,Salary,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
78,SG,11649967,4900,Eric Gordon,HOU,29,1,1,0,28.6,11,4,13,30.8,3,11,27.3,0,0,0.0,0,1,1,5,0,0,0,2,19.7,0,0,23
79,SF,11649967,4900,Eric Gordon,HOU,29,1,1,0,28.6,11,4,13,30.8,3,11,27.3,0,0,0.0,0,1,1,5,0,0,0,2,19.7,0,0,23
80,PG,11649977,4800,J.J. Barea,DAL,34,1,1,0,20.4,13,6,9,66.7,1,2,50.0,0,0,0.0,1,2,3,3,3,0,0,2,18.1,0,0,-8
81,SG,11649977,4800,J.J. Barea,DAL,34,1,1,0,20.4,13,6,9,66.7,1,2,50.0,0,0,0.0,1,2,3,3,3,0,0,2,18.1,0,0,-8
82,PF,11649981,4700,Derrick Favors,UTA,27,1,1,0,23.6,10,4,6,66.7,0,1,0.0,2,6,33.3,1,7,8,1,0,1,1,1,27.1,0,0,4
83,C,11649981,4700,Derrick Favors,UTA,27,1,1,0,23.6,10,4,6,66.7,0,1,0.0,2,6,33.3,1,7,8,1,0,1,1,1,27.1,0,0,4
84,SF,11649991,4600,Jerami Grant,OKC,24,1,1,0,32.4,14,4,7,57.1,1,2,50.0,5,7,71.4,1,5,6,3,0,0,2,2,31.7,0,0,14
85,PF,11649991,4600,Jerami Grant,OKC,24,1,1,0,32.4,14,4,7,57.1,1,2,50.0,5,7,71.4,1,5,6,3,0,0,2,2,31.7,0,0,14
86,SG,11650005,4500,Jaylen Brown,BOS,22,1,0,1,24.7,3,1,9,11.1,1,6,16.7,0,0,0.0,2,1,3,1,0,0,0,2,8.1,0,0,-7
87,SF,11650005,4500,Jaylen Brown,BOS,22,1,0,1,24.7,3,1,9,11.1,1,6,16.7,0,0,0.0,2,1,3,1,0,0,0,2,8.1,0,0,-7
88,SF,11650010,4500,Jae Crowder,UTA,28,1,1,0,27.1,5,2,7,28.6,1,6,16.7,0,0,0.0,0,4,4,1,0,1,0,4,14.3,0,0,19
89,PF,11650010,4500,Jae Crowder,UTA,28,1,1,0,27.1,5,2,7,28.6,1,6,16.7,0,0,0.0,0,4,4,1,0,1,0,4,14.3,0,0,19
90,SG,11650018,4400,Justin Holiday,CHI,29,1,0,1,31.1,12,4,10,40.0,3,8,37.5,1,1,100.0,0,4,4,1,1,1,1,0,23.3,0,0,-30
91,SF,11650018,4400,Justin Holiday,CHI,29,1,0,1,31.1,12,4,10,40.0,3,8,37.5,1,1,100.0,0,4,4,1,1,1,1,0,23.3,0,0,-30
92,SF,11650014,4400,Trey Lyles,DEN,23,1,0,1,20.3,7,3,9,33.3,1,4,25.0,0,2,0.0,1,3,4,1,2,0,0,4,11.3,0,0,-7
93,PF,11650014,4400,Trey Lyles,DEN,23,1,0,1,20.3,7,3,9,33.3,1,4,25.0,0,2,0.0,1,3,4,1,2,0,0,4,11.3,0,0,-7
94,PF,11650040,4300,Dewayne Dedmon,ATL,29,1,0,1,22.7,12,4,5,80.0,1,2,50.0,3,3,100.0,0,7,7,1,3,0,1,3,21.9,0,0,-14
95,C,11650040,4300,Dewayne Dedmon,ATL,29,1,0,1,22.7,12,4,5,80.0,1,2,50.0,3,3,100.0,0,7,7,1,3,0,1,3,21.9,0,0,-14
96,SF,11650044,4300,Thaddeus Young,IND,30,1,1,0,26.7,11,4,11,36.4,0,1,0.0,3,5,60.0,2,5,7,2,0,0,0,4,22.4,0,0,11
97,PF,11650044,4300,Thaddeus Young,IND,30,1,1,0,26.7,11,4,11,36.4,0,1,0.0,3,5,60.0,2,5,7,2,0,0,0,4,22.4,0,0,11
98,SG,11650035,4300,Bogdan Bogdanovic,SAC,26,1,0,1,19.9,14,6,11,54.5,2,5,40.0,0,0,0.0,0,1,1,5,0,1,0,2,25.7,0,0,-12
99,SF,11650035,4300,Bogdan Bogdanovic,SAC,26,1,0,1,19.9,14,6,11,54.5,2,5,40.0,0,0,0.0,0,1,1,5,0,1,0,2,25.7,0,0,-12
100,SF,11650057,4100,Juancho Hernangomez,DEN,23,1,0,1,35.3,20,7,12,58.3,4,6,66.7,2,2,100.0,3,8,11,2,4,0,1,3,35.2,1,0,-12
101,PF,11650057,4100,Juancho Hernangomez,DEN,23,1,0,1,35.3,20,7,12,58.3,4,6,66.7,2,2,100.0,3,8,11,2,4,0,1,3,35.2,1,0,-12
102,SF,11650090,4000,Marvin Williams,CHA,32,1,0,1,26.7,4,1,3,33.3,1,2,50.0,1,2,50.0,1,4,5,1,1,0,1,6,13.5,0,0,-6
