PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
Otto Porter Jr.,WAS,25,1,0,1,28.9,8,3,10,30,0,3,0,2,2,100,0,6,6,2,2,1,0,0,19.2,0,0,-4,
Omri Casspi,MEM,30,1,1,0,8.7,6,2,3,66.7,1,1,100,1,2,50,0,2,2,0,0,0,0,1,8.4,0,0,-11,
OG Anunoby,TOR,21,1,0,1,9.4,5,2,3,66.7,1,2,50,0,0,0,0,0,0,0,2,0,0,1,3,0,0,-15,
Noah Vonleh,NYK,23,1,0,1,27.5,4,2,5,40,0,2,0,0,0,0,0,6,6,2,1,0,1,4,16.2,0,0,0,
Nikola Mirotic,NOP,27,1,1,0,27,12,4,11,36.4,2,8,25,2,2,100,1,9,10,1,0,0,1,2,28.5,1,0,-7,
Nik Stauskas,POR,25,1,0,1,15.4,8,4,5,80,0,1,0,0,0,0,0,2,2,1,2,0,0,1,9.9,0,0,-19,
Nemanja Bjelica,SAC,30,1,0,1,28.2,8,2,7,28.6,2,5,40,2,2,100,1,5,6,3,1,1,0,3,21.7,0,0,-11,
Myles Turner,IND,22,1,1,0,28.1,12,4,11,36.4,1,3,33.3,3,4,75,0,7,7,4,2,1,3,0,36.4,0,0,-18,
Mitchell Robinson,NYK,20,1,0,1,24.3,7,3,6,50,0,0,0,1,2,50,4,3,7,1,1,1,1,5,21.9,0,0,2,
Mike Muscala,PHI,27,1,1,0,31.5,9,3,7,42.9,3,5,60,0,0,0,1,3,4,0,1,1,1,4,18.8,0,0,-7,
Mike Conley,MEM,31,1,1,0,34.5,19,7,16,43.8,1,4,25,4,8,50,0,3,3,6,4,0,0,2,27.6,0,0,9,
Meyers Leonard,POR,26,1,0,1,13.7,10,4,6,66.7,2,2,100,0,0,0,1,4,5,0,0,0,0,1,16,0,0,-5,
Matthew Dellavedova,MIL,28,1,1,0,3.5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2.7,0,0,-3,
Marvin Bagley III,SAC,19,1,0,1,20.2,7,1,3,33.3,0,1,0,5,6,83.3,1,0,1,1,2,0,0,1,7.7,0,0,0,
Markieff Morris,WAS,29,1,0,1,20.1,4,2,5,40,0,1,0,0,0,0,1,1,2,2,2,1,0,1,10.4,0,0,-12,
Markelle Fultz,PHI,20,1,1,0,14.5,6,2,5,40,0,0,0,2,4,50,2,1,3,2,1,0,0,0,11.6,0,0,-8,
Marcus Smart,BOS,24,1,1,0,18.6,5,2,5,40,0,2,0,1,1,100,0,5,5,1,4,0,0,3,8.5,0,0,-17,
Marcus Morris,BOS,29,1,1,0,33.1,11,4,8,50,1,2,50,2,3,66.7,1,6,7,0,2,0,0,3,17.4,0,0,11,
Marc Gasol,MEM,33,1,1,0,35,19,7,12,58.3,2,6,33.3,3,5,60,6,9,15,2,4,0,0,4,36,1,0,10,
MarShon Brooks,MEM,29,1,1,0,13.8,6,2,8,25,1,2,50,1,1,100,0,0,0,2,0,0,1,1,12,0,0,-5,
Malcolm Brogdon,MIL,25,1,1,0,28.6,13,5,12,41.7,3,5,60,0,0,0,2,2,4,3,0,0,0,1,22.3,0,0,18,
Landry Shamet,PHI,21,1,1,0,14.3,6,2,4,50,2,4,50,0,0,0,0,1,1,1,1,0,0,3,7.7,0,0,-4,
Kyrie Irving,BOS,26,1,1,0,38.5,43,18,26,69.2,3,6,50,4,6,66.7,0,2,2,11,3,3,1,3,70.9,1,0,9,
Kyle Lowry,TOR,32,1,0,1,42.6,14,3,12,25,1,6,16.7,7,8,87.5,0,2,2,7,4,2,0,3,28.9,0,0,5,
Kyle Anderson,MEM,25,1,1,0,30.7,2,1,4,25,0,0,0,0,0,0,1,6,7,2,1,2,1,5,21.4,0,0,12,
Khris Middleton,MIL,27,1,1,0,33.1,23,9,15,60,2,6,33.3,3,3,100,0,10,10,8,2,2,0,3,51,1,0,18,
Kevin Knox,NYK,19,1,0,1,20.8,11,4,9,44.4,3,6,50,0,1,0,2,3,5,2,2,1,0,4,21,0,0,3,
Kelly Oubre Jr.,WAS,22,1,0,1,27.9,18,5,6,83.3,1,2,50,7,8,87.5,0,4,4,1,0,1,0,2,27.3,0,0,1,
Kelly Olynyk,MIA,27,1,0,1,16.5,0,0,7,0,0,2,0,0,0,0,3,3,6,1,2,1,0,0,9.7,0,0,-14,
